original_species,candidate_species,shared_types,shared_egggroups,bst_delta,category_rule,fallback_tier
SPECIES_ABOMASNOW,SPECIES_VILEPLUME,GRASS,GRASS,-4,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_VICTREEBEL,GRASS,GRASS,-4,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_BELLOSSOM,GRASS,GRASS,-4,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_FERROTHORN,GRASS,GRASS,-5,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_SCOVILLAIN,GRASS,GRASS,-8,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_FLAPPLE,GRASS,GRASS,-9,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_APPLETUN,GRASS,GRASS,-9,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_DIPPLIN,GRASS,GRASS,-9,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_LUDICOLO,GRASS,GRASS,-14,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_SHIFTRY,GRASS,GRASS,-14,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_WHIMSICOTT,GRASS,GRASS,-14,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_LILLIGANT,GRASS,GRASS,-14,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_LURANTIS,GRASS,GRASS,-14,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_BRAMBLEGHAST,GRASS,GRASS,-14,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_LILLIGANT_HISUIAN,GRASS,GRASS,-14,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_TSAREENA,GRASS,GRASS,16,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_ARBOLIVA,GRASS,GRASS,16,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_CACTURNE,GRASS,GRASS,-19,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_TREVENANT,GRASS,GRASS,-20,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_AVALUGG,ICE,MONSTER,20,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_AVALUGG_HISUIAN,ICE,MONSTER,20,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_ROSERADE,GRASS,GRASS,21,normal_pool,1
