trainer_id,trainer_name,trainer_class,slot,species,level,move1,move2,move3,move4,learned_move_count,used_move_none,tie_broken,seed
0,-,TRAINERCLASS_PKMN_TRAINER_ETHAN,0,SPECIES_NONE,0,MOVE_NONE,MOVE_NONE,MOVE_NONE,MOVE_NONE,0,1,0,42
1,Silver,TRAINERCLASS_RIVAL,0,SPECIES_PUMPKABOO,14,MOVE_SHADOW_SNEAK,MOVE_CONFUSE_RAY,MOVE_TRICK_OR_TREAT,MOVE_RAZOR_LEAF,6,0,0,42
1,Silver,TRAINERCLASS_RIVAL,1,SPECIES_SPEAROW,16,MOVE_LEER,MOVE_ASSURANCE,MOVE_FURY_ATTACK,MOVE_AERIAL_ACE,6,0,0,42
1,Silver,TRAINERCLASS_RIVAL,2,SPECIES_BRELOOM,18,MOVE_POISON_POWDER,MOVE_STUN_SPORE,MOVE_MEGA_DRAIN,MOVE_HEADBUTT,10,0,1,42
2,Silver,TRAINERCLASS_RIVAL,0,SPECIES_HOUNDOUR,5,MOVE_LEER,MOVE_EMBER,MOVE_HOWL,MOVE_NONE,3,1,0,42
3,Silver,TRAINERCLASS_RIVAL,0,SPECIES_DUCKLETT,5,MOVE_WATER_GUN,MOVE_NONE,MOVE_NONE,MOVE_NONE,1,1,0,42
4,Wade,TRAINERCLASS_BUG_CATCHER,0,SPECIES_SCATTERBUG,2,MOVE_TACKLE,MOVE_STRING_SHOT,MOVE_NONE,MOVE_NONE,2,1,0,42
4,Wade,TRAINERCLASS_BUG_CATCHER,1,SPECIES_SNOM,2,MOVE_STRUGGLE_BUG,MOVE_POWDER_SNOW,MOVE_NONE,MOVE_NONE,2,1,0,42
4,Wade,TRAINERCLASS_BUG_CATCHER,2,SPECIES_WEEDLE,3,MOVE_POISON_STING,MOVE_STRING_SHOT,MOVE_NONE,MOVE_NONE,2,1,0,42
4,Wade,TRAINERCLASS_BUG_CATCHER,3,SPECIES_FEEBAS,2,MOVE_SPLASH,MOVE_NONE,MOVE_NONE,MOVE_NONE,1,1,0,42
5,Victoria,TRAINERCLASS_BEAUTY,0,SPECIES_MEOWTH,9,MOVE_GROWL,MOVE_FAKE_OUT,MOVE_FEINT,MOVE_SCRATCH,4,0,0,42
5,Victoria,TRAINERCLASS_BEAUTY,1,SPECIES_ZIGZAGOON,13,MOVE_SAND_ATTACK,MOVE_TAIL_WHIP,MOVE_COVET,MOVE_HEADBUTT,6,0,0,42
5,Victoria,TRAINERCLASS_BEAUTY,2,SPECIES_MINCCINO,16,MOVE_HELPING_HAND,MOVE_ECHOED_VOICE,MOVE_SING,MOVE_CHARM,6,0,0,42
6,Keith,TRAINERCLASS_POLICEMAN,0,SPECIES_GROWLITHE,17,MOVE_HOWL,MOVE_BITE,MOVE_FLAME_WHEEL,MOVE_HELPING_HAND,6,0,0,42
7,Irwin,TRAINERCLASS_JUGGLER,0,SPECIES_BELDUM,2,MOVE_TACKLE,MOVE_NONE,MOVE_NONE,MOVE_NONE,1,1,0,42
7,Irwin,TRAINERCLASS_JUGGLER,1,SPECIES_DWEBBLE,6,MOVE_FURY_CUTTER,MOVE_SAND_ATTACK,MOVE_WITHDRAW,MOVE_NONE,3,1,0,42
7,Irwin,TRAINERCLASS_JUGGLER,2,SPECIES_BOLDORE,10,MOVE_POWER_GEM,MOVE_TACKLE,MOVE_STEALTH_ROCK,MOVE_HARDEN,6,0,1,42
7,Irwin,TRAINERCLASS_JUGGLER,3,SPECIES_BRONZOR,14,MOVE_TACKLE,MOVE_CONFUSE_RAY,MOVE_PAYBACK,MOVE_IMPRISON,5,0,1,42
8,Joey,TRAINERCLASS_YOUNGSTER,0,SPECIES_MINCCINO,4,MOVE_POUND,MOVE_BABY_DOLL_EYES,MOVE_HELPING_HAND,MOVE_NONE,3,1,0,42
9,Elaine,TRAINERCLASS_SWIMMER_F,0,SPECIES_TIRTOUGA,21,MOVE_ANCIENT_POWER,MOVE_BITE,MOVE_WIDE_GUARD,MOVE_BRINE,9,0,0,42
10,Amy & Mimi,TRAINERCLASS_TWINS,0,SPECIES_METAPOD,10,MOVE_HARDEN,MOVE_HARDEN,MOVE_NONE,MOVE_NONE,2,1,0,42
10,Amy & Mimi,TRAINERCLASS_TWINS,1,SPECIES_POPPLIO,10,MOVE_POUND,MOVE_WATER_GUN,MOVE_DISARMING_VOICE,MOVE_AQUA_JET,5,0,1,42
11,Mickey,TRAINERCLASS_KIMONO_GIRL,0,SPECIES_STEENEE,20,MOVE_PLAY_NICE,MOVE_RAZOR_LEAF,MOVE_FLAIL,MOVE_SWEET_SCENT,6,0,1,42
11,Mickey,TRAINERCLASS_KIMONO_GIRL,1,SPECIES_NUMEL,20,MOVE_FOCUS_ENERGY,MOVE_BULLDOZE,MOVE_INCINERATE,MOVE_AMNESIA,7,0,0,42
