trainer_id,trainer_name,trainer_class,slot,original_species,new_species,bst_delta,shared_types,shared_egggroups,category_rule,mono_type_rule_applied,fallback_tier,unchanged,reason
0,-,TRAINERCLASS_PKMN_TRAINER_ETHAN,0,SPECIES_NONE,SPECIES_NONE,0,,,,0,0,1,source_not_in_pool
1,Silver,TRAINERCLASS_RIVAL,0,SPECIES_SANDYGAST,SPECIES_PUMPKABOO,15,GHOST,AMORPHOUS,normal_pool,0,1,0,ok
1,Silver,TRAINERCLASS_RIVAL,1,SPECIES_PIDGEY,SPECIES_SPEAROW,11,"FLYING,NORMAL",FLYING,normal_pool,0,1,0,ok
1,Silver,TRAINERCLASS_RIVAL,2,SPECIES_JUMPLUFF,SPECIES_BRELOOM,0,GRASS,"FAIRY,GRASS",normal_pool,0,1,0,ok
2,Silver,TRAINERCLASS_RIVAL,0,SPECIES_TORCHIC,SPECIES_HOUNDOUR,20,FIRE,FIELD,normal_pool,0,1,0,ok
3,Silver,TRAINERCLASS_RIVAL,0,SPECIES_FROAKIE,SPECIES_DUCKLETT,-9,WATER,WATER_1,normal_pool,0,1,0,ok
4,Wade,TRAINERCLASS_BUG_CATCHER,0,SPECIES_SPEWPA,SPECIES_SCATTERBUG,-13,BUG,BUG,normal_pool,0,1,0,ok
4,Wade,TRAINERCLASS_BUG_CATCHER,1,SPECIES_TAROUNTULA,SPECIES_SNOM,-25,BUG,BUG,normal_pool,0,1,0,ok
4,Wade,TRAINERCLASS_BUG_CATCHER,2,SPECIES_METAPOD,SPECIES_WEEDLE,-10,BUG,BUG,normal_pool,0,1,0,ok
4,Wade,TRAINERCLASS_BUG_CATCHER,3,SPECIES_SURSKIT,SPECIES_FEEBAS,-69,WATER,WATER_1,normal_pool,0,2,0,ok
5,Victoria,TRAINERCLASS_BEAUTY,0,SPECIES_RATTATA,SPECIES_MEOWTH,37,NORMAL,FIELD,normal_pool,0,1,0,ok
5,Victoria,TRAINERCLASS_BEAUTY,1,SPECIES_SLAKOTH,SPECIES_ZIGZAGOON,-40,NORMAL,FIELD,normal_pool,0,1,0,ok
5,Victoria,TRAINERCLASS_BEAUTY,2,SPECIES_LILLIPUP,SPECIES_MINCCINO,25,NORMAL,FIELD,normal_pool,0,1,0,ok
6,Keith,TRAINERCLASS_POLICEMAN,0,SPECIES_VULPIX,SPECIES_GROWLITHE,51,FIRE,FIELD,normal_pool,0,2,0,ok
7,Irwin,TRAINERCLASS_JUGGLER,0,SPECIES_MAGNEMITE,SPECIES_BELDUM,-25,STEEL,MINERAL,normal_pool,0,1,0,ok
7,Irwin,TRAINERCLASS_JUGGLER,1,SPECIES_GRAVELER_ALOLAN,SPECIES_DWEBBLE,-65,ROCK,MINERAL,normal_pool,0,2,0,ok
7,Irwin,TRAINERCLASS_JUGGLER,2,SPECIES_GRAVELER_ALOLAN,SPECIES_BOLDORE,0,ROCK,MINERAL,normal_pool,0,1,0,ok
7,Irwin,TRAINERCLASS_JUGGLER,3,SPECIES_MAGNEMITE,SPECIES_BRONZOR,-25,STEEL,MINERAL,normal_pool,0,1,0,ok
8,Joey,TRAINERCLASS_YOUNGSTER,0,SPECIES_BUNNELBY,SPECIES_MINCCINO,63,NORMAL,FIELD,normal_pool,0,2,0,ok
9,Elaine,TRAINERCLASS_SWIMMER_F,0,SPECIES_BINACLE,SPECIES_TIRTOUGA,49,"ROCK,WATER",WATER_3,normal_pool,0,2,0,ok
10,Amy & Mimi,TRAINERCLASS_TWINS,0,SPECIES_CATERPIE,SPECIES_METAPOD,10,BUG,BUG,normal_pool,0,1,0,ok
10,Amy & Mimi,TRAINERCLASS_TWINS,1,SPECIES_DEWPIDER,SPECIES_POPPLIO,51,WATER,WATER_1,normal_pool,0,2,0,ok
11,Mickey,TRAINERCLASS_KIMONO_GIRL,0,SPECIES_FERROSEED,SPECIES_STEENEE,-15,GRASS,GRASS,normal_pool,0,1,0,ok
11,Mickey,TRAINERCLASS_KIMONO_GIRL,1,SPECIES_CHIMCHAR,SPECIES_NUMEL,-4,FIRE,FIELD,normal_pool,0,1,0,ok
11,Mickey,TRAINERCLASS_KIMONO_GIRL,2,SPECIES_BELLSPROUT,SPECIES_CHIKORITA,18,GRASS,GRASS,normal_pool,0,1,0,ok
12,Grunt,TRAINERCLASS_TEAM_ROCKET,0,SPECIES_DEERLING_SUMMER,SPECIES_DEERLING_WINTER,0,"GRASS,NORMAL",FIELD,normal_pool,0,1,0,ok
12,Grunt,TRAINERCLASS_TEAM_ROCKET,1,SPECIES_WINGULL,SPECIES_MUDKIP,40,WATER,WATER_1,normal_pool,0,1,0,ok
12,Grunt,TRAINERCLASS_TEAM_ROCKET,2,SPECIES_SPEAROW,SPECIES_ZUBAT,-17,FLYING,FLYING,normal_pool,0,1,0,ok
13,Grunt,TRAINERCLASS_TEAM_ROCKET_F,0,SPECIES_SPEAROW,SPECIES_ZUBAT,-17,FLYING,FLYING,normal_pool,0,1,0,ok
