species,display_name,base_form_group,type1,type2,egggroup1,egggroup2,hp,atk,def,spe,spa,spd,bst,form_type,category_group,excluded_from_normal_pool,exclusion_reason
SPECIES_BULBASAUR,Bulbasaur,SPECIES_BULBASAUR,GRASS,POISON,MONSTER,GRASS,45,49,49,45,65,65,318,base,normal,0,
SPECIES_IVYSAUR,Ivysaur,SPECIES_IVYSAUR,GRASS,POISON,MONSTER,GRASS,60,62,63,60,80,80,405,base,normal,0,
SPECIES_VENUSAUR,Venusaur,SPECIES_VENUSAUR,GRASS,POISON,MONSTER,GRASS,80,82,83,80,100,100,525,base,normal,0,
SPECIES_CHARMANDER,Charmander,SPECIES_CHARMANDER,FIRE,FIRE,MONSTER,DRAGON,39,52,43,65,60,50,309,base,normal,0,
SPECIES_CHARMELEON,Charmeleon,SPECIES_CHARMELEON,FIRE,FIRE,MONSTER,DRAGON,58,64,58,80,80,65,405,base,normal,0,
SPECIES_CHARIZARD,Charizard,SPECIES_CHARIZARD,FIRE,FLYING,MONSTER,DRAGON,78,84,78,100,109,85,534,base,normal,0,
SPECIES_SQUIRTLE,Squirtle,SPECIES_SQUIRTLE,WATER,WATER,MONSTER,WATER_1,44,48,65,43,50,64,314,base,normal,0,
SPECIES_WARTORTLE,Wartortle,SPECIES_WARTORTLE,WATER,WATER,MONSTER,WATER_1,59,63,80,58,65,80,405,base,normal,0,
SPECIES_BLASTOISE,Blastoise,SPECIES_BLASTOISE,WATER,WATER,MONSTER,WATER_1,79,83,100,78,85,105,530,base,normal,0,
SPECIES_CATERPIE,Caterpie,SPECIES_CATERPIE,BUG,BUG,BUG,BUG,45,30,35,45,20,20,195,base,normal,0,
SPECIES_METAPOD,Metapod,SPECIES_METAPOD,BUG,BUG,BUG,BUG,50,20,55,30,25,25,205,base,normal,0,
SPECIES_BUTTERFREE,Butterfree,SPECIES_BUTTERFREE,BUG,FLYING,BUG,BUG,60,45,50,70,90,80,395,base,normal,0,
SPECIES_WEEDLE,Weedle,SPECIES_WEEDLE,BUG,POISON,BUG,BUG,40,35,30,50,20,20,195,base,normal,0,
SPECIES_KAKUNA,Kakuna,SPECIES_KAKUNA,BUG,POISON,BUG,BUG,45,25,50,35,25,25,205,base,normal,0,
SPECIES_BEEDRILL,Beedrill,SPECIES_BEEDRILL,BUG,POISON,BUG,BUG,65,90,40,75,45,80,395,base,normal,0,
SPECIES_PIDGEY,Pidgey,SPECIES_PIDGEY,NORMAL,FLYING,FLYING,FLYING,40,45,40,56,35,35,251,base,normal,0,
SPECIES_PIDGEOTTO,Pidgeotto,SPECIES_PIDGEOTTO,NORMAL,FLYING,FLYING,FLYING,63,60,55,71,50,50,349,base,normal,0,
SPECIES_PIDGEOT,Pidgeot,SPECIES_PIDGEOT,NORMAL,FLYING,FLYING,FLYING,83,80,75,101,70,70,479,base,normal,0,
