trainer_id,trainer_name,trainer_class,battle_type,party_slot,original_species,level,move1,move2,move3,move4
0,-,TRAINERCLASS_PKMN_TRAINER_ETHAN,SINGLE_BATTLE,0,SPECIES_NONE,0,MOVE_NONE,MOVE_NONE,MOVE_NONE,MOVE_NONE
1,Silver,TRAINERCLASS_RIVAL,SINGLE_BATTLE,0,SPECIES_SANDYGAST,14,MOVE_ABSORB,MOVE_HARDEN,MOVE_ASTONISH,MOVE_SAND_TOMB
1,Silver,TRAINERCLASS_RIVAL,SINGLE_BATTLE,1,SPECIES_PIDGEY,16,MOVE_TACKLE,MOVE_SAND_ATTACK,MOVE_GUST,MOVE_QUICK_ATTACK
1,Silver,TRAINERCLASS_RIVAL,SINGLE_BATTLE,2,SPECIES_JUMPLUFF,18,MOVE_POISON_POWDER,MOVE_STUN_SPORE,MOVE_SLEEP_POWDER,MOVE_BULLET_SEED
2,Silver,TRAINERCLASS_RIVAL,SINGLE_BATTLE,0,SPECIES_TORCHIC,5,MOVE_SCRATCH,MOVE_GROWL,MOVE_EMBER,MOVE_NONE
3,Silver,TRAINERCLASS_RIVAL,SINGLE_BATTLE,0,SPECIES_FROAKIE,5,MOVE_POUND,MOVE_GROWL,MOVE_WATER_GUN,MOVE_NONE
4,Wade,TRAINERCLASS_BUG_CATCHER,SINGLE_BATTLE,0,SPECIES_SPEWPA,2,MOVE_PROTECT,MOVE_HARDEN,MOVE_NONE,MOVE_NONE
4,Wade,TRAINERCLASS_BUG_CATCHER,SINGLE_BATTLE,1,SPECIES_TAROUNTULA,2,MOVE_TACKLE,MOVE_STRING_SHOT,MOVE_NONE,MOVE_NONE
4,Wade,TRAINERCLASS_BUG_CATCHER,SINGLE_BATTLE,2,SPECIES_METAPOD,3,MOVE_HARDEN,MOVE_HARDEN,MOVE_NONE,MOVE_NONE
4,Wade,TRAINERCLASS_BUG_CATCHER,SINGLE_BATTLE,3,SPECIES_SURSKIT,2,MOVE_WATER_GUN,MOVE_NONE,MOVE_NONE,MOVE_NONE
